rodata;clube;cartao;atleta;num_camisa;posicao;minuto
1;Cuiaba;Vermelho;Filipe Augusto Carvalho Souza;5;Meio-campo;57
1;Palmeiras;Amarelo;José Manuel Alberto López;18;Meio-campo;37
1;Cuiaba;Amarelo;Mateusinho;98;Zagueiro;48
1;Cuiaba;Amarelo;Deyverson;16;Atacante;6
1;Palmeiras;Amarelo;Jhonatan dos Santos Rosa;40;Meio-campo;66
1;Cuiaba;Amarelo;Filipe Augusto Carvalho Souza;5;Meio-campo;52
1;Cuiaba;Amarelo;Jonathan Cafú;7;Meio-campo;45
1;America-MG;Amarelo;Éder;33;Zagueiro;45
1;Fluminense;Amarelo;John Kennedy;9;Atacante;45
1;America-MG;Amarelo;Nino Paraíba;2;Zagueiro;48
1;America-MG;Amarelo;Iago Maidana;3;Zagueiro;41
1;Fluminense;Amarelo;Vitor Mendes;4;Zagueiro;40
1;Bragantino;Amarelo;Juninho Capixaba;29;Zagueiro;73
1;Bahia;Amarelo;Vítor Jacaré;29;Meio-campo;22
1;Bragantino;Amarelo;Lucão;40;Goleiro;84
1;Bragantino;Amarelo;Jadsom;5;Meio-campo;41
1;Athletico-PR;Amarelo;Pedro Henrique Ribeiro Gonçalves;34;Zagueiro;10
1;Goias;Amarelo;Bruno Melo;19;Zagueiro;83
1;Athletico-PR;Amarelo;Pablo Felipe Teixeira;92;Atacante;93
1;Goias;Amarelo;Jhonny Lucas;77;Meio-campo;95
1;Goias;Amarelo;Sidimar Fernando Sigolini;4;Zagueiro;22
1;Fortaleza;Amarelo;Emanuel Brítez;19;Zagueiro;98
1;Internacional;Amarelo;Rodrigo Moledo;4;Zagueiro;100
1;Fortaleza;Amarelo;Guilherme;29;Atacante;60
1;Botafogo-RJ;Amarelo;Víctor Cuesta;15;Zagueiro;85
1;Botafogo-RJ;Amarelo;Leonel Di Plácido;24;Zagueiro;45
1;Sao Paulo;Amarelo;Jhegson Méndez;21;Meio-campo;8
1;Botafogo-RJ;Amarelo;Carlos Eduardo de Oliveira Alves;33;Meio-campo;80
1;Sao Paulo;Amarelo;Jonathan Calleri;9;Atacante;48
1;Atletico-MG;Amarelo;Hulk;7;Atacante;81
1;Atletico-MG;Amarelo;Otávio Henrique Passos Santos;5;Meio-campo;58
1;Atletico-MG;Amarelo;Cristian Pavón;9;Atacante;38
1;Vasco;Amarelo;Gabriel Pec;11;Atacante;79
1;Vasco;Amarelo;Pedro Raul;9;Atacante;54
1;Atletico-MG;Amarelo;Mauricio Lemos;28;Zagueiro;98
1;Atletico-MG;Amarelo;Matías Zaracho;15;Meio-campo;68
1;Atletico-MG;Amarelo;Renzo Saravia;26;Zagueiro;52
1;Vasco;Amarelo;Rodrigo Alves de Holanda Santos;26;Meio-campo;98
1;Vasco;Amarelo;Robson Bambu;30;Zagueiro;64
1;Vasco;Amarelo;Andrey Santos;18;Meio-campo;51
1;Flamengo;Amarelo;Mário Sérgio Santos Costa;31;Atacante;89
1;Flamengo;Amarelo;Gabriel Barbosa;10;Atacante;17
1;Coritiba;Amarelo;William Pottker;90;Atacante;31
1;Flamengo;Amarelo;Fabrício Bruno;15;Zagueiro;80
1;Coritiba;Amarelo;Zé Roberto;18;Atacante;94
1;Coritiba;Amarelo;Júnior Urso;23;Meio-campo;23
1;Corinthians;Amarelo;Róger Guedes;10;Meio-campo;89
1;Corinthians;Amarelo;Roni;29;Meio-campo;45
1;Cruzeiro;Amarelo;Oliveira;26;Zagueiro;85
1;Corinthians;Amarelo;Fagner;23;Zagueiro;75
1;Corinthians;Amarelo;Fausto Vera;5;Meio-campo;45
1;Cruzeiro;Amarelo;Nikão;10;Meio-campo;67
