"partida_id","rodata","clube","cartao","atleta","num_camisa","posicao","minuto"
"8026","1","Cuiaba","Vermelho","Filipe Augusto Carvalho Souza","5","Meio-campo","57"
"8026","1","Palmeiras","Amarelo","José Manuel Alberto López","18","Meio-campo","37"
"8026","1","Cuiaba","Amarelo","Mateusinho","98","Zagueiro","48"
"8026","1","Cuiaba","Amarelo","Deyverson","16","Atacante","6"
"8026","1","Palmeiras","Amarelo","Jhonatan dos Santos Rosa","40","Meio-campo","66"
"8026","1","Cuiaba","Amarelo","Filipe Augusto Carvalho Souza","5","Meio-campo","52"
"8026","1","Cuiaba","Amarelo","Jonathan Cafú","7","Meio-campo","49"
"8027","1","America-MG","Amarelo","Éder","33","Zagueiro","49"
"8027","1","Fluminense","Amarelo","John Kennedy","9","Atacante","46"
"8027","1","America-MG","Amarelo","Nino Paraíba","2","Zagueiro","48"
"8027","1","America-MG","Amarelo","Iago Maidana","3","Zagueiro","41"
"8027","1","Fluminense","Amarelo","Vitor Mendes","4","Zagueiro","40"
"8029","1","Bragantino","Amarelo","Juninho Capixaba","29","Zagueiro","73"
"8029","1","Bahia","Amarelo","Vítor Jacaré","29","Meio-campo","22"
"8029","1","Bragantino","Amarelo","Lucão","40","Goleiro","84"
"8029","1","Bragantino","Amarelo","Jadsom","5","Meio-campo","41"
"8030","1","Athletico-PR","Amarelo","Pedro Henrique Ribeiro Gonçalves","34","Zagueiro","10"
"8030","1","Goias","Amarelo","Bruno Melo","19","Zagueiro","83"
"8030","1","Athletico-PR","Amarelo","Pablo Felipe Teixeira","92","Atacante","93"
"8030","1","Goias","Amarelo","Jhonny Lucas","77","Meio-campo","95"
"8030","1","Goias","Amarelo","Sidimar Fernando Sigolini","4","Zagueiro","22"
"8031","1","Fortaleza","Amarelo","Emanuel Brítez","19","Zagueiro","98"
"8031","1","Internacional","Amarelo","Rodrigo Moledo","4","Zagueiro","100"
"8031","1","Fortaleza","Amarelo","Guilherme","29","Atacante","60"
"8028","1","Botafogo-RJ","Amarelo","Víctor Cuesta","15","Zagueiro","85"
"8028","1","Botafogo-RJ","Amarelo","Leonel Di Plácido","24","Zagueiro","45"
"8028","1","Sao Paulo","Amarelo","Jhegson Méndez","21","Meio-campo","8"
"8028","1","Botafogo-RJ","Amarelo","Carlos Eduardo de Oliveira Alves","33","Meio-campo","80"
"8028","1","Sao Paulo","Amarelo","Jonathan Calleri","9","Atacante","48"
"8032","1","Atletico-MG","Amarelo","Hulk","7","Atacante","81"
"8032","1","Atletico-MG","Amarelo","Otávio Henrique Passos Santos","5","Meio-campo","58"
"8032","1","Atletico-MG","Amarelo","Cristian Pavón","9","Atacante","38"
"8032","1","Vasco","Amarelo","Gabriel Pec","11","Atacante","79"
"8032","1","Vasco","Amarelo","Pedro Raul","9","Atacante","54"
"8032","1","Atletico-MG","Amarelo","Mauricio Lemos","28","Zagueiro","98"
"8032","1","Atletico-MG","Amarelo","Matías Zaracho","15","Meio-campo","68"
"8032","1","Atletico-MG","Amarelo","Renzo Saravia","26","Zagueiro","52"
"8032","1","Vasco","Amarelo","Rodrigo Alves de Holanda Santos","26","Meio-campo","98"
"8032","1","Vasco","Amarelo","Robson Bambu","30","Zagueiro","64"
"8032","1","Vasco","Amarelo","Andrey Santos","18","Meio-campo","51"
"8034","1","Flamengo","Amarelo","Mário Sérgio Santos Costa","31","Atacante","89"
"8034","1","Flamengo","Amarelo","Gabriel Barbosa","10","Atacante","17"
"8034","1","Coritiba","Amarelo","William Pottker","90","Atacante","31"
"8034","1","Flamengo","Amarelo","Fabrício Bruno","15","Zagueiro","80"
"8034","1","Coritiba","Amarelo","Zé Roberto","18","Atacante","94"
"8034","1","Coritiba","Amarelo","Júnior Urso","23","Meio-campo","23"
"8033","1","Corinthians","Amarelo","Róger Guedes","10","Meio-campo","89"
"8033","1","Corinthians","Amarelo","Roni","29","Meio-campo","47"
"8033","1","Cruzeiro","Amarelo","Oliveira","26","Zagueiro","85"
"8033","1","Corinthians","Amarelo","Fagner","23","Zagueiro","75"
"8033","1","Corinthians","Amarelo","Fausto Vera","5","Meio-campo","46"
"8033","1","Cruzeiro","Amarelo","Nikão","10","Meio-campo","67"
"8035","1","Gremio","Amarelo","Darlan Mendes","37","Meio-campo","83"
"8035","1","Gremio","Amarelo","Vina","11","Meio-campo","30"
"8035","1","Santos","Amarelo","Douglas Moreira","19","Meio-campo","51"
"8035","1","Santos","Vermelho","Yeferson Soteldo","10","Meio-campo","87"
"8035","1","Gremio","Amarelo","Walter Kannemann","4","Zagueiro","80"
"8035","1","Santos","Amarelo","Yeferson Soteldo","10","Meio-campo","83"
"8035","1","Santos","Amarelo","Guilherme Camacho","29","Meio-campo","32"
"8036","2","Fluminense","Amarelo","Thiago dos Santos","29","Meio-campo","94"
"8036","2","Fluminense","Amarelo","Samuel Xavier","2","Zagueiro","48"
"8036","2","Athletico-PR","Amarelo","Erick Luis Conrado Carvalho","26","Meio-campo","51"
"8036","2","Fluminense","Amarelo","Keno","11","Meio-campo","79"
"8036","2","Athletico-PR","Amarelo","Pedro Henrique Azevedo Pereira","48","Zagueiro","61"
"8036","2","Athletico-PR","Amarelo","Pablo Felipe Teixeira","92","Atacante","19"
"8038","2","Cuiaba","Amarelo","Marllon Borges","4","Zagueiro","59"
"8038","2","Cuiaba","Amarelo","Pablo Cepellini","10","Meio-campo","44"
"8038","2","Bragantino","Amarelo","Juninho Capixaba","29","Zagueiro","48"
"8038","2","Cuiaba","Amarelo","Denilson","27","Meio-campo","46"
"8038","2","Bragantino","Amarelo","Thiago Borbas","18","Atacante","89"
"8038","2","Bragantino","Amarelo","Henry Mosquera","16","Atacante","18"
"8037","2","Sao Paulo","Amarelo","Marcos Paulo Costa do Nascimento","32","Atacante","96"
"8037","2","Sao Paulo","Amarelo","Raí Ramos","34","Zagueiro","50"
"8037","2","Sao Paulo","Amarelo","Pablo Maia","29","Meio-campo","16"
"8037","2","America-MG","Amarelo","Everaldo","37","Meio-campo","48"
"8037","2","Sao Paulo","Amarelo","Luciano da Rocha Neves","10","Atacante","72"
"8037","2","Sao Paulo","Amarelo","Patryck","36","Zagueiro","30"
"8037","2","America-MG","Amarelo","Éder","33","Zagueiro","80"
"8037","2","America-MG","Amarelo","Lucas Kal","21","Meio-campo","33"
"8039","2","Cruzeiro","Amarelo","Marlon Rodrigues Xavier","3","Zagueiro","67"
"8039","2","Cruzeiro","Amarelo","Richard Candido Coelho","25","Meio-campo","58"
"8039","2","Cruzeiro","Amarelo","Ramiro","17","Meio-campo","36"
"8039","2","Gremio","Amarelo","Luis Alberto Suárez","9","Atacante","49"
"8039","2","Cruzeiro","Vermelho","Oliveira","6","Zagueiro","98"
"8039","2","Cruzeiro","Amarelo","Oliveira","6","Zagueiro","59"
"8039","2","Cruzeiro","Amarelo","Gilberto Oliveira Souza Junior","21","Atacante","43"
"8039","2","Gremio","Amarelo","Walter Kannemann","4","Zagueiro","100"
"8040","2","Internacional","Amarelo","Gustavo Campanharo","17","Meio-campo","44"
"8040","2","Flamengo","Amarelo","Everton Cebolinha","11","Atacante","102"
"8040","2","Internacional","Amarelo","Maurício Magalhães Prado","27","Meio-campo","99"
"8040","2","Internacional","Amarelo","Vitão","44","Zagueiro","30"
"8041","2","Santos","Amarelo","Rodrigo Fernández","14","Meio-campo","76"
"8041","2","Atletico-MG","Amarelo","Mariano","25","Zagueiro","93"
"8041","2","Atletico-MG","Amarelo","Hyoran","20","Meio-campo","18"
"8041","2","Santos","Amarelo","Luan Dias","97","Meio-campo","94"
"8041","2","Santos","Amarelo","Douglas Moreira","19","Meio-campo","44"
"8041","2","Atletico-MG","Amarelo","Otávio Henrique Passos Santos","5","Meio-campo","88"
"8042","2","Vasco","Amarelo","Pedro Raul","9","Atacante","57"
"8042","2","Vasco","Amarelo","Jair Rodrigues Júnior","8","Meio-campo","7"
"8042","2","Palmeiras","Amarelo","Gabriel Menino","25","Meio-campo","33"
"8042","2","Vasco","Amarelo","Gabriel Pec","11","Atacante","85"
"8042","2","Vasco","Amarelo","Lucas Piton","6","Zagueiro","11"
"8042","2","Palmeiras","Amarelo","Murilo Cerqueira","26","Zagueiro","90"
"8042","2","Palmeiras","Amarelo","José Rafael Vivian","8","Meio-campo","16"
"8043","2","Coritiba","Amarelo","Alef Manga","11","Atacante","68"
"8043","2","Fortaleza","Amarelo","Calebe Gonçalves Ferreira da Silva","27","Meio-campo","69"
"8043","2","Fortaleza","Amarelo","Emanuel Brítez","19","Zagueiro","72"
"8044","2","Goias","Amarelo","Julián Palacios","10","Meio-campo","82"
"8044","2","Goias","Amarelo","Matheus Peixoto","17","Atacante","49"
"8044","2","Corinthians","Amarelo","Fausto Vera","5","Meio-campo","52"
"8044","2","Goias","Amarelo","Lucas Halter","3","Zagueiro","84"
"8044","2","Goias","Amarelo","Zé Ricardo","5","Meio-campo","68"
