"partida_id","rodata","clube","cartao","atleta","num_camisa","posicao","minuto"
"8026","1","Cuiaba","2","Filipe Augusto Carvalho Souza","5","Meio-campo","57"
"8026","1","Palmeiras","1","José Manuel Alberto López","18","Meio-campo","37"
"8026","1","Cuiaba","1","Mateusinho","98","Zagueiro","48"
"8026","1","Cuiaba","1","Deyverson","16","Atacante","6"
"8026","1","Palmeiras","1","Jhonatan dos Santos Rosa","40","Meio-campo","66"
"8026","1","Cuiaba","1","Filipe Augusto Carvalho Souza","5","Meio-campo","52"
"8026","1","Cuiaba","1","Jonathan Cafú","7","Meio-campo","49"
"8027","1","America-MG","1","Éder","33","Zagueiro","49"
"8027","1","Fluminense","1","John Kennedy","9","Atacante","46"
"8027","1","America-MG","1","Nino Paraíba","2","Zagueiro","48"
"8027","1","America-MG","1","Iago Maidana","3","Zagueiro","41"
"8027","1","Fluminense","1","Vitor Mendes","4","Zagueiro","40"
"8029","1","Bragantino","1","Juninho Capixaba","29","Zagueiro","73"
"8029","1","Bahia","1","Vítor Jacaré","29","Meio-campo","22"
"8029","1","Bragantino","1","Lucão","40","Goleiro","84"
"8029","1","Bragantino","1","Jadsom","5","Meio-campo","41"
"8030","1","Athletico-PR","1","Pedro Henrique Ribeiro Gonçalves","34","Zagueiro","10"
"8030","1","Goias","1","Bruno Melo","19","Zagueiro","83"
"8030","1","Athletico-PR","1","Pablo Felipe Teixeira","92","Atacante","93"
"8030","1","Goias","1","Jhonny Lucas","77","Meio-campo","95"
"8030","1","Goias","1","Sidimar Fernando Sigolini","4","Zagueiro","22"
"8031","1","Fortaleza","1","Emanuel Brítez","19","Zagueiro","98"
"8031","1","Internacional","1","Rodrigo Moledo","4","Zagueiro","100"
"8031","1","Fortaleza","1","Guilherme","29","Atacante","60"
"8028","1","Botafogo-RJ","1","Víctor Cuesta","15","Zagueiro","85"
"8028","1","Botafogo-RJ","1","Leonel Di Plácido","24","Zagueiro","45"
"8028","1","Sao Paulo","1","Jhegson Méndez","21","Meio-campo","8"
"8028","1","Botafogo-RJ","1","Carlos Eduardo de Oliveira Alves","33","Meio-campo","80"
"8028","1","Sao Paulo","1","Jonathan Calleri","9","Atacante","48"
"8032","1","Atletico-MG","1","Hulk","7","Atacante","81"
"8032","1","Atletico-MG","1","Otávio Henrique Passos Santos","5","Meio-campo","58"
"8032","1","Atletico-MG","1","Cristian Pavón","9","Atacante","38"
"8032","1","Vasco","1","Gabriel Pec","11","Atacante","79"
"8032","1","Vasco","1","Pedro Raul","9","Atacante","54"
"8032","1","Atletico-MG","1","Mauricio Lemos","28","Zagueiro","98"
"8032","1","Atletico-MG","1","Matías Zaracho","15","Meio-campo","68"
"8032","1","Atletico-MG","1","Renzo Saravia","26","Zagueiro","52"
"8032","1","Vasco","1","Rodrigo Alves de Holanda Santos","26","Meio-campo","98"
"8032","1","Vasco","1","Robson Bambu","30","Zagueiro","64"
"8032","1","Vasco","1","Andrey Santos","18","Meio-campo","51"
"8034","1","Flamengo","1","Mário Sérgio Santos Costa","31","Atacante","89"
"8034","1","Flamengo","1","Gabriel Barbosa","10","Atacante","17"
"8034","1","Coritiba","1","William Pottker","90","Atacante","31"
"8034","1","Flamengo","1","Fabrício Bruno","15","Zagueiro","80"
"8034","1","Coritiba","1","Zé Roberto","18","Atacante","94"
"8034","1","Coritiba","1","Júnior Urso","23","Meio-campo","23"
"8033","1","Corinthians","1","Róger Guedes","10","Meio-campo","89"
"8033","1","Corinthians","1","Roni","29","Meio-campo","47"
"8033","1","Cruzeiro","1","Oliveira","26","Zagueiro","85"
"8033","1","Corinthians","1","Fagner","23","Zagueiro","75"
"8033","1","Corinthians","1","Fausto Vera","5","Meio-campo","46"
"8033","1","Cruzeiro","1","Nikão","10","Meio-campo","67"
"8035","1","Gremio","1","Darlan Mendes","37","Meio-campo","83"
"8035","1","Gremio","1","Vina","11","Meio-campo","30"
"8035","1","Santos","1","Douglas Moreira","19","Meio-campo","51"
"8035","1","Santos","2","Yeferson Soteldo","10","Meio-campo","87"
"8035","1","Gremio","1","Walter Kannemann","4","Zagueiro","80"
"8035","1","Santos","1","Yeferson Soteldo","10","Meio-campo","83"
"8035","1","Santos","1","Guilherme Camacho","29","Meio-campo","32"
"8036","2","Fluminense","1","Thiago dos Santos","29","Meio-campo","94"
"8036","2","Fluminense","1","Samuel Xavier","2","Zagueiro","48"
"8036","2","Athletico-PR","1","Erick Luis Conrado Carvalho","26","Meio-campo","51"
"8036","2","Fluminense","1","Keno","11","Meio-campo","79"
"8036","2","Athletico-PR","1","Pedro Henrique Azevedo Pereira","48","Zagueiro","61"
"8036","2","Athletico-PR","1","Pablo Felipe Teixeira","92","Atacante","19"
"8038","2","Cuiaba","1","Marllon Borges","4","Zagueiro","59"
"8038","2","Cuiaba","1","Pablo Cepellini","10","Meio-campo","44"
"8038","2","Bragantino","1","Juninho Capixaba","29","Zagueiro","48"
"8038","2","Cuiaba","1","Denilson","27","Meio-campo","46"
"8038","2","Bragantino","1","Thiago Borbas","18","Atacante","89"
